%time,field.header.seq,field.header.stamp,field.header.frame_id,field.latitude,field.longitude,field.altitude,field.utm_easting,field.utm_northing,field.zone,field.letter
1698242570799260392,79,1698242570799012660,GPS1_Frame,42.3370246887207,-71.08982849121094,13.5,327838.3125,4689311.5,19,T
1698242571800465269,80,1698242571799753427,GPS1_Frame,42.33700180053711,-71.08979797363281,13.5,327840.46875,4689309.5,19,T
1698242572799925836,81,1698242572799358367,GPS1_Frame,42.33698654174805,-71.08975982666016,13.600000381469727,327843.28125,4689307.5,19,T
1698242573800193832,82,1698242573799346685,GPS1_Frame,42.33697509765625,-71.0897216796875,13.399999618530273,327846.5625,4689306.0,19,T
1698242574799983398,83,1698242574799536466,GPS1_Frame,42.33696746826172,-71.08967590332031,13.300000190734863,327850.53125,4689305.5,19,T
1698242575801467827,84,1698242575800820827,GPS1_Frame,42.336971282958984,-71.0896224975586,13.300000190734863,327854.65625,4689305.5,19,T
1698242576801385521,85,1698242576800766944,GPS1_Frame,42.33698654174805,-71.0895767211914,13.199999809265137,327858.6875,4689307.0,19,T
1698242577801064602,86,1698242577800395011,GPS1_Frame,42.337013244628906,-71.08953857421875,13.199999809265137,327861.90625,4689310.0,19,T
1698242578800449973,87,1698242578799772500,GPS1_Frame,42.33704376220703,-71.08951568603516,13.199999809265137,327864.03125,4689313.5,19,T
1698242579800730836,88,1698242579799877643,GPS1_Frame,42.33707809448242,-71.0895004272461,13.300000190734863,327865.09375,4689317.5,19,T
1698242580801203278,89,1698242580800433397,GPS1_Frame,42.337120056152344,-71.08950805664062,13.100000381469727,327864.9375,4689321.5,19,T
1698242581800578712,90,1698242581799971818,GPS1_Frame,42.337158203125,-71.08952331542969,13.5,327863.25,4689326.0,19,T
1698242582799866395,91,1698242582799476385,GPS1_Frame,42.337188720703125,-71.08956146240234,13.800000190734863,327860.59375,4689329.5,19,T
1698242583800923302,92,1698242583800228595,GPS1_Frame,42.33720779418945,-71.08960723876953,13.899999618530273,327856.9375,4689332.0,19,T
1698242584800635698,93,1698242584800280094,GPS1_Frame,42.337215423583984,-71.08965301513672,14.0,327853.0,4689333.0,19,T
